# angle_deg distance_mm
266.719 482.750
268.000 485.750
269.609 491.250
275.641 1913.000
277.047 1886.500
280.703 925.000
285.125 806.500
286.484 786.250
287.891 784.750
295.141 2242.750
313.375 203.500
334.812 558.250
336.344 557.250
341.234 2721.500
342.656 2719.250
347.047 1848.500
348.516 1819.250
349.891 1797.500
351.297 1778.500
352.703 1757.250
354.094 1734.250
355.516 1714.750
6.516 2220.250
9.297 2202.000
12.109 2189.000
13.531 2182.500
16.297 2180.250
17.734 2178.750
19.109 2176.750
20.531 2176.500
21.906 2178.250
23.312 2180.000
24.688 2182.000
28.891 2193.000
30.297 2201.500
31.703 2213.000
33.094 2227.750
34.469 2244.750
35.953 2263.250
37.328 2280.750
38.734 2298.000
40.125 2318.500
41.516 2342.500
42.906 2368.750
44.312 2393.250
47.750 1230.750
49.156 1222.750
50.500 1223.000
51.891 1223.000
53.297 1233.500
54.688 1250.000
58.047 891.500
59.312 887.250
60.812 891.250
81.375 595.500
82.656 582.500
84.281 573.500
85.562 566.500
87.031 561.500
88.359 557.750
89.922 554.500
91.172 553.000
92.734 553.500
94.156 553.750
95.375 558.500
99.625 567.750
100.844 575.750
102.391 584.500
103.531 595.500
104.922 611.750
121.344 2653.250
122.734 2649.750
124.141 2647.250
125.562 2656.000
126.953 2666.750
145.453 1651.000
275.234 1920.500
276.641 1890.500
280.297 931.000
281.672 940.750
283.016 965.000
286.078 791.500
287.469 786.500
313.094 203.000
314.484 201.000
334.484 558.500
336.016 557.500
337.406 556.500
340.812 2725.500
342.250 2723.250
346.656 1861.500
348.094 1826.750
349.516 1802.750
350.906 1783.000
352.312 1764.250
353.750 1742.000
355.125 1720.500
356.516 1738.250
8.922 2209.750
10.297 2203.000
17.297 2177.250
18.734 2176.000
20.125 2177.500
21.484 2179.000
22.906 2180.000
24.297 2182.000
28.484 2191.500
29.859 2199.000
31.266 2209.250
32.688 2221.000
34.078 2236.750
35.547 2255.750
36.922 2275.500
38.312 2293.250
39.719 2309.000
41.109 2332.000
42.500 2362.250
43.875 2387.500
47.281 1229.750
48.719 1225.250
50.109 1226.750
51.438 1228.500
52.828 1230.750
54.281 1242.750
57.453 896.000
58.938 888.750
60.312 889.500
61.719 900.000
80.938 601.250
82.359 587.250
83.719 577.250
85.312 568.750
86.625 562.500
88.062 558.500
89.531 555.250
90.859 553.500
92.344 552.750
93.750 553.250
95.000 554.750
102.031 582.000
103.172 591.500
104.531 607.000
122.344 2626.750
123.750 2649.250
145.016 1661.250
146.438 1636.500
269.969 491.250
276.250 1895.250
279.859 934.250
282.531 959.750
285.750 797.500
287.188 785.250
288.406 794.250
314.078 201.000
334.141 559.500
